We Were Soldiers
The Fast and the Furious: Tokyo Drift
Bangkok Dangerous
La haine
Empire of the Wolves/L'empire des loups
Derailed
Gomorra
Lakeview Terrace
The Transporter
Transporter 2
Transporter 3
The Wrestler
Traitor
Sheitan
Imagine Me & You
Elle s'appelle Sabine 
De gek op de heuvel
The Black Balloon 
Perfume: The Story of a Murderer
Eastern Promises
Let The Right One In
Nobel Son
Public Enemy Number One (Part 1)
Public Enemy Number One (Part 2)
The Lucky Ones 
Taken
You The Living
Marley & Me
Public Enemies
Echelon Conspiracy/The Gift
Slumdog Millionaire
Das Leben der Anderen
Che: Part One
Che: Part Two
Revolutionary Road
De storm
The Hangover
A Perfect Getaway 
Red Cliff
2012
Bless The Child
The Night Listener
Holy Smoke
La tigre e la neve/The Tiger and the Snow
Do the Right Thing
Jungle Fever
Crooklyn
Clockers
The Wicker Man
Jesse Stone: Night Passage
Jesse Stone: Death in Paradise
Jesse Stone: Sea Change
Jesse Stone: Thin Ice
Raging Bull
Donnie Darko
The Woodsman
Milk
Stir of Echoes
Live!
Rails & Ties
State of Grace
Frost/Nixon
The Hurt Locker
Unknown
GodSend
Sukiyaki Western Django
Powder Blue
Winged Creatures
Taxi Driver
Murder in the First
Anamorph
The Color Purple
Hotel Rwanda
My Sister's Keeper
Detective
The Soloist
Prey
Betrayed
Armored
The Constant Gardener
The Day After Tomorrow
Die Fälscher
The Stepfather
Le premier cercle/The Inside Ring
God On Trial
The Merry Gentleman
Deception
Komt een vrouw bij de dokter
The Prestige
The Boys Are Back
Hunger 
Un prophète 
Precious
Edge of Darkness
The Imaginarium of Doctor Parnassus
For Roseanna/Roseanna's Grave
Case 39
Shooting Dogs/Beyond the Gates
Goodbye Bafana
Chloe
Across the Hall
The Messenger
Sherlock Holmes
My Name Is Khan
Adam
The Bad Lieutenant: Port of Call - New Orleans
Exam
Heartless
Next
100 Feet
The Burning Plain
Shutter Island
The Horseman
Temple Grandin
Extraordinary Measures
Children of Men
Solitary Man
The Break-up
Wall Street
North Country
Crazy Heart
De Gelukkige Huisvrouw
Couples Retreat
The Killers
Wedding Crashers
Law Abiding Citizen
Freedom Writers
Sunshine Cleaning
Bordertown
The Immortal
Dear John
Die Welle
Little Children
Stomp the Yard 2
Cast Away
The Da Vinci Code & Angels and Demons
State of Play
Baaria
Robin Hood
Wall Street - Money Never Sleeps
He's Just Not That Into You
P.S. I love you
Back-up Plan
Equilibrium
Inception
The Bounty Hunter
American Beauty
Salt
Machete
21 Grams
Hurlyburly
Beyond Borders
Arlington Road
What's Eating Gilbert Grape 
Hadewijch
Seven Pounds
Step Up 3D
House of Boys
Brotherhood
Dog Pound
City Of Angels
Million Dollar Baby
Cinderella Man
Ali
Girlfight
The Baader Meinhof Complex
The Town
Mojave Moon
The Social Network
127 Hours
The Fighter
Wind Chill
The Kids Are Allright
Due Date
Irresistible
The Round Up (Aka La Rafle)
Loft (BE)
Loft (NL)
The Other Guys
The Next Three Days
Elle s'appelait Sarah/Haar naam was Sarah
Charlie St. Cloud
Five Minutes of Heaven
Against the Current
The Dilemma
The Experiment
Hell Ride
Mother and Child
'Tamara Drewe'
The Switch
Leaves of Grass
Fair Game
Buried
Salvador
Bend It Like Beckham
I Could Never Be Your Woman    
A Good Year
Little Fockers
The Tourist
Meet The Fockers
Meet The Parents
Incendiary
North Face/Nordwand
La siciliana ribelle
The Infidel
The Killing Fields
Ticking Clock
A Day in the Life
Tirza
The Box
Blow
The Brave One
Just Wright
The Boondock Saints
The Road
Fame
Boogie Nights
The Killer Inside Me
De Eenzaamheid van de Priemgetallen
Killshot
Love Happens
My one and only
Secretariat
Sex and the City
De eetclub
Gran Torino
S.W.A.T.: Firefight
The Killing Room
Conviction
Lost and Delirious
Loving Annabelle
Never Let Me Go
Step Up
Step Up 2: The Streets 
The World Unseen
The Gymnast
Sonny Boy
Banlieue 13
Biutiful
Love and Other Drugs
Nothing in Common
The Mechanic
The Way Back
Twelve
You Will Meet a Tall Dark Stranger
Celda 211
Claire of the Moon
East Is East
Yasmin
Chromophobia 
Percy Jackson & the Olympians: The Lightning Thief
After Life
Brotherhood/Broderskab
Xanadu
The China Syndrome
Last Tango in Paris/Ultimo tango a Parigi
Proof of Life
Mississippi Burning
Fame
Drive Angry 3D
Flashdance
The King's Speech
The Notebook 
A Walk to Remember
The Negotiator 
The Holiday
Water for Elephants
Green Street Hooligans
Green Street Hooligans 2
Apocalypse Now
The Joneses
The Graduate
TRON/TRON: Legacy 
Avatar
Jurassic Park
The Lost World: Jurassic Park
Jurassic Park III
Jurassic World
Jurassic City
Against All Odds
Jersey Girl
In the Electric Mist
Peacock
Trust
Source Code
Elena Undone
Basic Instinct        
Disclosure
Limitless 
Last Night
Like Dandelion Dust
Livvakterna
Noll tolerans
Street Kings 2: Motor City
In Her Skin
Sunstorm/Solstorm 
Changeling
The Beaver
The Rite
Swingers
I Am Number Four
Space Cowboys
The Hangover Part II
Bad Teacher 
Blood Diamond 
Manhunter
The Silence of the Lambs
Hannibal
Red Dragon
Hannibal Rising
Animal Kingdom
The Resident 
One Hour Photo
Rogue
The Entitled
London Boulevard
Unknown
Blue Valentine
Blitz
Gooische vrouwen
Snabba Cash
The Invention of Lying
The Painted Veil
Country Strong
Marley & Me: The Puppy Years
Wild Target
The Sorcerer's Apprentice
Colombiana
Sleepwalking
Whistleblower
Contre toi
The Contender
World Invasion: Battle Los Angeles
Fifty Dead Men Walking
Indecent Proposal
What Doesn't Kill You
A Single Man
"Definitely, Maybe"
The Conspirator
The River Murders
Trespass 
Killer Elite
What Just Happened
The Life Before Her Eyes
101 Dalmatians
102 Dalmatians
free willy
Free Willy 2: The Adventure Home
Free Willy 3: The Rescue 
Free Willy: Escape from Pirate's Cove
Beethoven
Beethoven's 2nd
Beethoven's 3rd
Beethoven's 4th
Beethoven's 5th
Beethoven's Big Break
Anger Management
Terms of Endearment
Blood and Wine
Hoffa
The Border
Something's Gotta Give
As Good as It Gets
How Do You Know
Easy Rider
One Flew Over the Cuckoo's Nest
Drive 
Carriers 
The Shining
"Crazy, Stupid, Love."
The Music Never Stopped
Barry Munday
Mr. Nice
Howl 
Sympathy for Delicious
La Femme Nikita 
The Change-Up
Hot Fuzz
K-9
K-9: P.I.
K-911
Don't Be Afraid of the Dark
The Debt 
One Day
De Heineken ontvoering
All Good Things
Our Family Wedding
Schemer/Dusk
The Rum Diary
The Client
The Sorcerer's Apprentice
A Dangerous Method
De Bende van Oss
Extremely Loud & Incredibly Close
The Artist
This Must Be the Place 
We Need to Talk About Kevin
Hugo
J. Edgar 
Margin Call
Perfect Sense
Seeking Justice
The Grey
A Family
De zaak Alzheimer/The Memory of a Killer
Forrest Gump
Jin líng shí san chai/The Flowers of War
The Mortician
Henry & June
The Ledge
Footloose
Jaws
Jaws 2
Jaws 3-D
Jaws: The Revenge
My Week with Marilyn
De onfatsoenlijke vrouw
The Karate Kid
The Da Vinci Code
The Machinist
Iron Eagle
Iron Eagle II
Aces: Iron Eagle III 
Young Adult
Dirty Harry
Dirty Harry 2/Magnum Force
Dirty Harry 3/The Enforcer
Dirty Harry 4/Sudden Impact
Dirty Harry 5/The Dead Pool
Dirty Harry: 2000 - Out Of The Shadows
"The Karate Kid, Part II"
"The Karate Kid, Part III"
The Karate Kid
Real Steel
Angels & Demons
Carnage
Goon 
Recoil
SM-rechter
TBS
All Stars
All Stars 2: Old Stars
Capote
The English Patient
Unforgiven
Waiting to Exhale
The Caveman's Valentine
The Groomsmen
Requiem for a Dream
Even Money
Eagle Eye
Frankie & Alice
Dark Tide
Johnny Depp: Donnie Brasco
Johnny Depp: Sleep Hollow
Johnny Depp: Chococlate
Johnny Depp: Once Upon a Time in Mexico
Johnny Depp: Sweeney Todd: The Demon Barber of Fleet Street
Johnny Depp: Public Enemies
Johnny Depp: Pirates of the Caribbean: The Curse of the Black Pearl
Johnny Depp: Pirates of the Caribbean: Dead Man's Chest
Johnny Depp: Pirates of the Caribbean: At World's End
Johnny Depp: Finding Neverland
Johnny Depp: The Imaginarium of Doctor Parnassus
Johnny Depp: Alice in Wonderland
Johnny Depp: The Tourist
Johnny Depp: Rango
Johnny Depp: The Rum Diary
Johnny Depp: Jack and Jill
Johnny Depp: Benny & Joon
Johnny Depp: The Libertine
Batman
Batman Returns
Batman Forever
Batman & Robin
Batman Begins
The Dark Knight
Catch Me If You Can
Cowboys & Aliens
Nine 1/2 Weeks
The Lovely Bones
Saving Private Ryan
E.T. the Extra-Terrestrial 
The Librarian: Quest for the Spear
Titanic
Wild Orchid
Contraband
Into the Abyss
Bird
Haywire
Midnight Express
Midnight in the Garden of Good and Evil
Shame
Stone
Striptease
The Vow
White Hunter Black Heart
True Crime
Kort Amerikaans/Crew Cut
Twee Vrouwen/Twice a Woman
Schindler's List
Riverworld
Iron Man
Super 8
Iron Man 2
Shelter
Win/Win
Les petits mouchoirs/Little White Lies
Beginners
Flicka: Country Pride
In My Sleep
Semi-Pro
The Game
Caged
Instinct
Finding Amanda
Svinalängorna/Beyond
Jesse Stone: Benefit of the Doubt
Keith
Sudden Impact
This Means War
Welcome to Mooseport
A Lot Like Love
National Security
Prison Break The Final Break
Undisputed
Blindness
Gifted Hands
Faster
Reign Over Me
The Reef
Intouchables
Rabbit Hole
The Lucky One 
Lockout
My Fellow Americans 
Safe
Snow White and the Huntsman
Down in the Delta
Der Untergang/Downfall
I Am Sam 
Moonstruck
Domino
The Pianist
Apollo 13
Eye for an Eye
Desert Saints
The Fugitive
The Help
After Thomas
Ted
Good Deeds
Foster
Sneakers
Code 46
Confessions of a Shopaholic
The Cry of the Owl
Dark Country
Fighting
Le fils de l'autre
Cloverfield
Heartbreak Ridge
Heist
The Aviator
Birdy
Twilight
The Twilight Saga: New Moon
The Twilight Saga: Eclipse
The Twilight Saga: Breaking Dawn (part 1)
The Twilight Saga: Breaking Dawn (part 2)
The Bourne Legacy
Thank God It's Friday
Sharpay's Fabulous Adventure
Deadfall
Resurrection
Aldo Moro
Freight/Shank
Sex and the City 2 (2010) & The A-Team (2010)-BOX 10
Knight and Day (2010) & The Karate Kid (2010)-BOX 19
how the west was won
Melancholia 
Lars and the Real Girl
Argo
Close Encounters of the Third Kind
Hit and Run
The Sting
Babycall
Ronin
Hackers
Sacrifice
I Am Gabriel 
The Hunter
The Girl with the Dragon Tattoo
Streetdance 2
oscars
Soldiers of Fortune
Salvation Boulevard
info-2X SRT Movie's Box 173 = Game Change (2012) & Love (2011)
info-2 X Movie Box 43 = Beyond (2012) & Freerunner (2011)
Salmon Fishing in the Yemen
Salvation Boulevard
Trouble with the Curve
The Five-Year Engagement
Your Sister's Sister
Welcome to the Rileys
End of Watch
The Words 
Sleepless Night/Nuit blanche
Edwin Boyd
Prometheus
Step Up 4 Miami Heat
El Mal Ajeno -  For the Good of Others
Catch That Kid
The Cake Eaters
Cosmopolis
What to Expect When You're Expecting
21 Jump Street
About Cherry
Alex Cross
Being Flynn
Dark Shadows
The Philly Kid
The Avengers
The Dark Knight Rises
In the Land of Women
Bel Ami
The Deep Blue Sea
Ruby Sparks
360
Red Dog
Five Fingers
Lawless
Artificial Intelligence AI
The Raven
White Fang
White Fang 2: Myth of the White Wolf
X-Men 
X-Men: The Last Stand
X2 
X-Men Origins: Wolverine 
Thunderheart 
Adventureland 
Chocolate
Year of the Dog
Taken 2
The Paperboy
Cloud Atlas
Won't Back Down
Shadow Dancer
The Sessions
Zero Dark Thirty
Hodejegerne -  Headhunters
Olycksfågeln/The Jinx
À l'aveugle 
Hijacked
Alting bliver godt igen 
Före stormen/Before the Storm
Red Dawn
Life of Pi  
Chasing Mavericks
Riddle
The Brotherhood of Justice
186 Dollars to Freedom
Django Unchained
Dans la maison
The Last Stand
Silver Linings Playbook
Hitchcock
Jar City / Mýrin
The Clearing
The Forgotten
Apollo 18 
Dirty Dancing
Suspect Zero
Duma
Firehouse Dog
The Dog Problem
The Twilight Samuari / Tasogare Seibei 
Will
The Celestine Prophecy 
Whisper
Pawn
The Devil's in the Details
To the Wonder 
Harodim
90 minutter/90 minutes
The Wolfman
Skyfall
Zookeeper
Crush
Safe Haven
Gangster Squad
The Company You Keep
Parker
Side Effects

Arne Dahl 1-5
Beck

Bron a.k.a. The Bridge
Government aka Borgen
info-Arne Dahl 2 (2012) Ont Blod aka Kentucky Killer 2 Dvd's
info-Maria Wern Box (2012)
Irene Huss
Maria Wern
the jinx
The Killing
The Spiral (2012) 2x Dvd5
Those Who Kill
Van Veeteren
Varg Veum


Irene Huss - Den tysta cirkeln (2011)


Hot in Cleveland

Dark Skies
Assault on Wall Street
Snitch
Broken City
Gambit
Premium Rush
Sofia / Assassin's Bullet
Assassins Run / White Swan
Stolen
Thunderstruck
Spetters
Abraham Lincoln: Vampire Hunter
For the Love of Money/Gangster Squad
Stoker
Donato and Daughter                              
Dying of the Light
The English Teacher
The Rambler
The Numbers Station
Trade of Innocents
Tyson
A Dark Truth
Jagten/The Hunt
Phantom
The Darwin Awards
G.I. Joe Retaliation
Trance
The Jazz Singer
Rushlights
Playing for Keeps
All the President's Men
Amadeus
Christiane F. - Wir Kinder vom Bahnhof Zoo
Con Air
Bullet to the Head
Olympus Has Fallen
Pain & Gain
Skytten
Summoned
Places in the Heart
Only God Forgives
De Vierde Man
Ceremony

Hip Hop Abs
Insanity


Comme un chef
Hummingbird
Europa Report
The Thing
Connors' War
12 Days of Terror
Death Race
Death Race 2
No
Green Lantern
Inhale
Caught in the Crossfire
Jerusalem Countdown
In Time
Texas Killing Fields
The Big Wedding
White House Down
Iron Man 3
Lovelace 
The Place Beyond The Pines
The Great Gatsby
Another Happy Day
The Domino Principle/The Domino Killings
Arthur Newman
The Frozen Ground
A Fish Called Wanda
Resident Evil: Apocalypse
The Hangover Part III 
Empire State
Gamer 
The Iceman
Hatchet 
Hatchet II
Heavenly Creatures
jOBS 
The Family/Malavita 
The East
Why Did I Get Married?
Love and Honor
The Marine 3: Homefront
The Lone Ranger
The Conjuring
The Motel Life
And While We Were Here
Blue Caprice
We're the Millers
I lossens time
 K-11 aka Cell Block 11
Casino Jack
Runner Runner
The Butler
The Lifeguard
Out of the Furnace
A Common Man
Before Midnight
Faro
R.I.P.D.
The Truth About Emanuel




The Bridge US




Fin
The Wolverine
Jag etter vind
All Is Lost
About Time
12 Years a Slave
Carrie
Fjällbackamorden: Ljusets drottning
De Prooi miniserie
Escape Plan
The Counselor
Diana
Last Vegas
The Internship
This Is the End
Captain Phillips
The Wolf of Wall Street 
Mandela: Long Walk to Freedom
Bébé(s)
Love's Everlasting Courage
The Greatest Game Ever Played
State Property 2/State Property: Blood on the Streets
Cry Wolf
Pay It Forward
Runaway Jury
The Pledge
The Private Lives of Pippa Lee
Boys on the Run
Hot in Cleveland
Finding John Christmas
Personally Yours
Two Mothers for Zachary
A Case for Life
The Haunting of Helen Walker
In a Child's Name
The Call
New Year's Eve
Things We Lost in the Fire
Perfect Stranger
Their Eyes Were Watching God
Catwoman
Die Another Day
Monster's Ball
Swordfish
Race the Sun
Executive Decision
Boomerang
The Last Boy Scout
Manuale d'am3re 
Shoot 'Em Up
How Much Do You Love Me?
The Brothers Grimm
She Hate Me
The Passion of the Christ
The Matrix Revolutions
The Matrix Reloaded
Tears of the Sun
Irréversible
Astérix & Obélix: Mission Cléopâtre
Brotherhood of the Wolf - Le pacte des loups
Malèna
Under Suspicion
L' appartement 
Dracula
The Other Man
My Mom's New Boyfriend/Homeland Security
Once Upon a Time in Mexico
Ballistic
Frida
Femme Fatale
Original Sin
The Body
Play It to the Bone
The Mask of Zorro
Assassins
Desperado
Outrage
Prisoners 
Grown Ups 2
Carjacked
Abduction                                              
Beautiful Boy
Grown Ups
The Company Men
The Private Lives of Pippa Lee
The Mummy: Tomb of the Dragon Emperor
The Jane Austen Book Club
Nothing Is Private/Towelhead
Butterfly on a Wheel
Flicka
World Trade Center
Thank You for Smoking
A History of Violence
The Dark
Assault on Precinct 13
Silver City
Secret Window
The Cooler
100 Mile Rule
Auto Focus
Duets
Coyote Ugly
Sam the Man
Payback
Permanent Midnight
Finding a Family
Earthquake 10.5 part II
Earthquake 10.5
Infidelity
Devil's Child
Jack Reacher
Rock of Ages
Mission: Impossible - Ghost Protocol
Knight and Day
Valkyrie
Lions for Lambs
Mission: Impossible III
War of the Worlds
Collateral
The Last Samurai
Minority Report
Vanilla Sky
Mission: Impossible II
Magnolia
Eyes Wide Shut
Jerry Maguire
Mission: Impossible
Interview with the Vampire
The Firm 
A Few Good Men
Far and Away
Days of Thunder
Born on the Fourth of July
Rain Man
Cocktail
The Color of Money
Top Gun
Legend
All the Right Moves
Risky Business
The Outsiders
Taps
Man of Steel
The New Daughter             
Swing Vote                   
Mr. Brooks                   
The Guardian                 
Rumor Has It...                   
The Upside of Anger          
Open Range                   
Dragonfly                    
3000 Miles to Graceland      
Thirteen Days                
For Love of the Game         
The Postman                  
Tin Cup                      
Waterworld                   
The War                      
Wyatt Earp                   
A Perfect World              
The Bodyguard                
JFK                          
Robin Hood: Prince of Thieves
Dances with Wolves           
Revenge                      
Field of Dreams              
The Gunrunner 
Bull Durham                  
No Way Out                   
The Untouchables             
Shadows Run Black            
American Flyers              
Silverado                    
Fandango                     
Testament                    
Stacy's Knights              
Table for Five               
Chasing Dreams               
The American
The Men Who Stare at Goats
Up in the Air
Burn After Reading
Leatherheads
Michael Clayton
Ocean's Thirteen
The Good German
Syriana
"Good Night, and Good Luck"
Intolerable Cruelty
Confessions of a Dangerous Mind
Solaris
Ocean's Eleven
The Perfect Storm
Three Kings
The Thin Red Line
Out of Sight
The Peacemaker
One Fine Day
From Dusk Till Dawn
Red Surf
I Don`t Know How She Does It
The Ghost Writer
Mamma Mia!
After the Sunset
The Tailor of Panama 
The Thomas Crown Affair
Tomorrow Never Dies
The Blind Side                        
All About Steve                       
The Proposal                          
Premonition                           
The Lake House                        
Miss Congeniality 2: Armed & Fabulous 
Loverboy                              
Crash                          
Two Weeks Notice                      
Divine Secrets of the Ya-Ya Sisterhood
Murder by Numbers                     
28 Days                               
Gun Shy                               
Forces of Nature                      
Practical Magic                       
Hope Floats                           
Speed 2: Cruise Control               
In Love and War                       
A Time to Kill                        
Two If by Sea                         
The Net                               
While You Were Sleeping               
Who Do I Gotta Kill?                  
Speed                                 
Wrestling Ernest Hemingway            
Fire on the Amazon                    
Demolition Man                        
The Thing Called Love                 
When the Party's Over                 
The Vanishing                         
Love Potion No. 9                     
"Religion, Inc.                        "
Who Shot Patakango?                   
Hangmen                               
The Jane Austen Book Club
88 Minutes
Nine Lives
Off the Map
Things You Can Tell Just by Looking at Her
Your Friends & Neighbors
Lesser Prophets
Fear
Heat
Bye Bye Love
Hanna
The Curious Case of Benjamin Button
Indiana Jones and the Kingdom of the Crystal Skull 
Elizabeth: The Golden Age
Notes on a Scandal
The Good German
Babel
Little Fish
The Lord of the Rings: The Return of the King
The Missing
Veronica Guerin
The Lord of the Rings: The Two Towers
Heaven
The Shipping News
Charlotte Gray
The Lord of the Rings: The Fellowship of the Ring
Bandits
The Gift
The Man Who Cried
The Talented Mr. Ripley
Elizabeth 
Oscar and Lucinda
Hyde Park on Hudson
The Details
Morning
John Adams               
The Other Man
The City of Your Final Destination 
The Nanny Diaries
Breach                      
The Savages                  
Jindabyne                      
Man of the Year               
The Hottest State                 
Driving Lessons           
The Exorcism of Emily Rose           
The Squid and the Whale           
Kinsey                     
P.S A Simple Twist of Fate
Love Actually                    
Mystic River               
The Life of David Gale      
The Mothman Prophecies
The Laramie Project 
Wild Iris
The House of Mirth         
You Can Count on Me          
Maze                              
Running Mates
Lush               
The Truman Show             
Absolute Power               
Primal Fear
Congo                      
A Simple Twist of Fate           
Searching for Bobby Fischer 
Dave                                                   
Lorenzo's Oil                     
The Imaginarium of Doctor Parnassus
I'm Not There
Candy
Casanova
Brokeback Mountain
Lords of Dogtown
The Sin Eater
The Four Feathers
A Knight's Tale
The Patriot
10 Things I Hate About You
Paws
Missing 
Dolphin Tale
Flypaper
Tooth Fairy
Crossing Over
Helen
Bug
Come Early Morning
De-Lovely
Twisted
High Crimes
Someone Like You
Where the Heart Is
Double Jeopardy
Eye of the Beholder
Simon Birch
Kiss the Girls
The Locusts
Ñormal Life
Norma Jean & Marilyn
Smoke
The Passion of Darkly Noon
Ruby in Paradise
Kuffs
Arbitrage
The Double
Amelia
Hachi: A Dog's Tale
Brooklyn's Finest
Nights in Rodanthe
The Hunting Party
The Flock
The Hoax
Bee Season
Shall We Dance
Chicago
Unfaithful
The Mothman Prophecies
Dr T and the Women
Autumn in New York
Runaway Bride
The Jackal
Red Corner
First Knight
Mr. Jones
Sommersby
Final Analysis
Rhapsody in August/Hachi-gatsu no kyôshikyoku
Pretty Woman
Internal Affairs
Miles from Home
No Mercy
The Cotton Club
Breathless
An Officer and a Gentleman
American Gigolo
Yanks
Days of Heaven
For Greater Glory: The True Story of Cristiada
5 Days of War
City Island
"New York, I Love You"
La Linea - The Line
The Air I Breathe
Smokin' Aces
The Lost City
Ocean's Twelve
Modigliani
The Lazarus Child
Twisted
The Man from Elysian Fields
The Unsaid
Just the Ticket
Desperate Measures
Night Falls on Manhattan
Things to Do in Denver When You're Dead
When a Man Loves a Woman
Jennifer Eight
Dead Again
The Godfather: Part III
A Show of Force
Black Rain
Blood Money
Elysium 
Behind the Candelabra
We Bought a Zoo
Margaret                                        
Contagion 
The Adjustment Bureau
True Grit
Hereafter 
The Green Zone
The Informant!                               
Invictus
Che: Part Two
The Bourne Ultimatum
The Good Shepherd
The Departed
The Bourne Supremacy
EuroTrip                                             
Stuck On You                                          
The Bourne Identity
Finding Forrester                       
All the Pretty Horses                 
The Talented Mr. Ripley
Dogma
Rounders                                
Good Will Hunting                         
The Rainmaker                             
Chasing Amy                                
Courage Under Fire
Glory Daze                         
The Good Old Boys                         
Geronimo: An American Legend 2nd Lt. Britton Davis         
School Ties                              
Rising Son                                 
Mystic Pizza                                    
Life Support
Little John
The Agency
Cold Blooded
Indiscreet
Nick of Time
Timecop
Henry's Crime
The Private Lives of Pippa Lee    
The Day the Earth Stood Still     
Street Kings                      
The Lake House                    
A Scanner Darkly                  
Constantine
Thumbsucker                       
Ellie Parker                      
The Matrix Revolutions            
The Matrix Reloaded               
Hard Ball                         
Sweet November
The Gift                          
The Watcher                       
The Replacements                  
Me and Will                       
The Matrix
The Devil's Advocate              
The Last Time I Committed Suicide 
Feeling Minnesota                 
Chain Reaction                    
A Walk in the Clouds        
Johnny Mnemonic             
Little Buddha               
Even Cowgirls Get the Blues 
Bram Stoker's Dracula       
My Own Private Idaho        
Bill & Ted's Bogus Journey  
Point Break                 
Providence                             
Tune in Tomorrow...                    
I Love You to Death                    
Parenthood                             
Bill & Ted's Excellent Adventure       
Life Under Water                       
Dangerous Liaisons Le Chevalier        
The Prince of Pennsylvania             
Permanent Record                       
The Night Before                       
Babes in Toyland Jack/Jack-be-Nimble   
Under the Influence                    
River's Edge                           
Flying                                 
Young Again                            
Act of Vengeance                       
Youngblood                             
One Step Away                          
Letting Go                             
Thor: The Dark World
Thor  
Your Highness  
No Strings Attached 
Black Swan
Hesher
Brothers
Love and Other Impossible Pursuits
The Other Boleyn Girl   
Mr. Magorium's Wonder Emporium
The Darjeeling Limited
My Blueberry Nights   
"Paris, je t'aime   "
V for Vendetta   
Free Zone   
Star Wars: Episode III - Revenge of the Sith
Domino One   
Closer
Garden State
Cold Mountain   
Star Wars: Episode II - Attack of the Clones
Where the Heart Is
Anywhere But Here
Star Wars: Episode I - The Phantom Menace
Mars Attacks!   
Everyone Says I Love You   
Beautiful Girls
Léon
World War Z
Killing them softly
Moneyball
The Tree of Life
Inglourious Basterds
The Assassination of Jesse James by the Coward Robert Ford
Mr. & Mrs. Smith
Troy
Sinbad: Legend of the Seven Seas
Full Frontal
Spy Game
The Mexican
Snatch
Fight Club
Meet Joe Black
The Dark Side of the Sun
Seven Years in Tibet
The Devil's Own
Sleepers
Twelve Monkeys
Se7en
Legends of the Fall
True Romance
Kalifornia
A River Runs Through It
Thelma & Louise
Across the Tracks
Too Young to Die?
Cutting Class
The Son of No One
You Don't Know Jack 
Righteous Kill
Two for the Money
The Merchant of Venice
Angels in America
Gigli
The Recruit
S1mOne
Insomnia
People I Know
Any Given Sunday
The Insider
Donnie Brasco
City Hall
Two Bits
Carlito's Way
Scent of a Woman
Glengarry Glen Ross
Frankie & Johnny
The Godfather: Part III
Dick Tracy
Sea of Love
Revolution
Scarface
Cruising
...And Justice for All
Bobby Deerfield
Dog Day Afternoon
The Godfather: Part II
Serpico
Scarecrow 
The Godfather
The Panic in Needle Park
Night Train to Lisbon
Hypnotisören/The hypnotist
Remember Me
Devil You Know 
The Reader
Awake
Hollywood Homicide
The United States of Leland
Darkness
Queen of the Damned
Hamilton
Ignition
Chocolat
The Ninth Gate
Mystery Men
Polish Wedding
The Night and the Moment
Romeo Is Bleeding
Havana
The Unbearable Lightness of Being
Efter repetitionen/Na de repetitie
Fanny och Alexander
3: The Dale Earnhardt Story
The Santa Clause 2
